,,,,,,,,,,Score,,Offense,,,,,Defense,,,,,Expected Points,,
Week,Day,Date,,,,OT,Rec,,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,09/08/2002,8:36PM ET,boxscore,W,,Jan-00,,Dallas Cowboys,19,10,13,210,123,87,1,11,267,112,155,2,-14.29,9.87,7.99
2,Sun,09/15/2002,4:15PM ET,boxscore,L,,01-Jan,@,San Diego Chargers,3,24,7,118,29,89,3,16,267,143,124,1,-42.11,7.35,13.25
3,Sun,09/22/2002,1:01PM ET,boxscore,L,,02-Jan,,Indianapolis Colts,3,23,10,204,78,126,2,16,339,251,88,2,-17.73,0.18,-2.8
4,Sun,09/29/2002,1:02PM ET,boxscore,L,,03-Jan,@,Philadelphia Eagles,17,35,12,242,151,91,3,21,391,289,102,3,-20.1,-2.55,3.87
5,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
6,Sun,10/13/2002,1:02PM ET,boxscore,L,,04-Jan,,Buffalo Bills,24,31,18,338,197,141,0,25,403,230,173,1,10.08,-10.23,-0.05
7,Sun,10/20/2002,4:05PM ET,boxscore,L,,05-Jan,@,Cleveland Browns,17,34,17,354,265,89,2,14,230,141,89,0,1.19,0.65,-13.3
8,Sun,10/27/2002,4:15PM ET,boxscore,W,,05-Feb,@,Jacksonville Jaguars,21,19,12,242,161,81,1,18,290,164,126,0,-5.89,-0.08,6.72
9,Sun,11/03/2002,1:01PM ET,boxscore,L,,06-Feb,,Cincinnati Bengals,3,38,22,268,186,82,2,25,390,263,127,0,-10.04,-22.38,-1.44
10,Sun,11/10/2002,1:03PM ET,boxscore,L,,07-Feb,@,Tennessee Titans,10,17,13,233,165,68,3,15,251,109,142,2,-22.15,8.61,5.54
11,Sun,11/17/2002,1:02PM ET,boxscore,L,,08-Feb,,Jacksonville Jaguars,21,24,18,272,194,78,2,16,321,199,122,1,-6.16,-1.2,-2.22
12,Sun,11/24/2002,4:15PM ET,boxscore,W,,08-Mar,,New York Giants,16,14,12,212,89,123,1,19,369,201,168,3,-16.72,6.63,9.19
13,Sun,12/01/2002,4:00PM ET,boxscore,L,,09-Mar,@,Indianapolis Colts,3,19,10,165,100,65,2,13,278,190,88,1,-27.9,8.86,0.22
14,Sun,12/08/2002,1:01PM ET,boxscore,W,,09-Apr,@,Pittsburgh Steelers,24,6,3,47,10,37,1,24,422,294,128,5,-21.71,32.93,3.4
15,Sun,12/15/2002,1:02PM ET,boxscore,L,,10-Apr,,Baltimore Ravens,19,23,15,277,182,95,2,16,298,228,70,0,-8.64,-2.78,7.15
16,Sun,12/22/2002,1:02PM ET,boxscore,L,,11-Apr,@,Washington Redskins,10,26,10,166,99,67,3,27,437,190,247,0,-20.41,-8.88,16.81
17,Sun,12/29/2002,1:03PM ET,boxscore,L,,12-Apr,,Tennessee Titans,3,13,16,224,196,28,1,15,277,137,140,0,-11.48,6.7,-4.63
